,cost_for_two,cuisines,locality,rest_name
194,,"['Arabian', 'Middle Eastern', 'Indian']","Ajman Saray, Ajman Corniche",Mejhana - Ajman Saray
195,,['Fast Food'],Al Jurf,Grill Station Cafeteria
196,,"['Fast Food', 'Juices', 'Burger']",Al Nakhil 1,Al Barq Cafeteria
197,,"['Russian', 'Grill', 'Arabian', 'Middle Eastern']",Al Rumailah,Skazka Restaurant
198,,['Fast Food'],Al Rashidiya 2,Diet Zone
199,,"['Cafe', 'American', 'European']","Ajman Hotel, Ajman Corniche",Cafe on First - Ajman Hotel
200,,"['Arabian', 'Middle Eastern']",Al Jurf Industrial Area,Alka Team Restaurant
201,,"['Fast Food', 'Pizza', 'Burger', 'American']","Safeer Mall, Nuaimiya",SFC Plus
202,,['Fast Food'],Al Zahra,Um Ali Cafeteria
203,,"['Irish', 'Finger Food']",Al Jurf,McGettigan's Irish Pub
204,,"['North Indian', 'Street Food', 'Pakistani']",Al Rashidiya 2,Tasty Tasty Restaurant
205,,['Lebanese'],Al Hamidiya,Zattara
206,,['Cafe'],"Ajman Hotel, Ajman Corniche",Cosmic Bowling - Ajman Hotel
207,,"['Fast Food', 'Juices']",Al Rashidiya 3,Royal Taste Restaurant & Cafeteria
208,,"['Cafe', 'Desserts', 'Coffee']",Al Hamidiya,Mood Cafe
209,,"['Fast Food', 'Beverages']",Al Rumailah,Al Ameen Cafeteria
210,,"['Fast Food', 'Biryani', 'Beverages']",Nuaimiya,Farrouj Hut
211,,"['Healthy Food', 'Salad']",Al Tallah,The Good Bowl
212,,"['Arabian', 'Middle Eastern', 'Fast Food']",Nuaimiya,Chicken House
213,,"['Arabian', 'Middle Eastern']","Corniche Avenue, Ajman Corniche",Naba Al Arad
214,,['Finger Food'],"Fairmont Ajman, Ajman Corniche",The Cave Sports Bar & Kitchen
215,,"['Middle Eastern', 'Arabian', 'Mandi']",Nuaimiya,Joraif for Mandi
216,,"['Middle Eastern', 'Arabian', 'Lebanese']",Nuaimiya,Al Yasmeen Al Shami
217,,"['Seafood', 'Sushi']","City Centre Ajman, Al Jurf",Ocean Basket
218,,"['Arabian', 'Middle Eastern']",Al Muwaihat,Bait Al Sarood Restaurant & Kitchen
219,,"['Fast Food', 'Burger']",Al Muwaihat,Huff & Puff Burger
220,,"['Italian', 'Fast Food']",Al Rashidiya 1,La Pizza Restaurant
221,,"['Cafe', 'Desserts']",Al Jurf,IGrab Cafe
222,,"['Middle Eastern', 'Arabian']",Al Bustan,First Zahrat Lebnan Restaurant
223,,"['Arabian', 'Middle Eastern']",Al Jurf,Barr Al Emarat
224,,['Bakery'],Al Jurf,Sweets & Cake Gallery
225,,"['Lebanese', 'Arabian', 'Middle Eastern']","Al Zorah Marina, Al Zorah",Nayana Restaurant & Cafe
226,,"['Burger', 'Fast Food']",Al Zahra,Oxygen Burger
227,,"['Fast Food', 'Juices']",Al Bustan,City Burger Restaurant & Cafeteria
228,,"['Bakery', 'Arabian', 'Middle Eastern']",Al Rashidiya 3,Al Sorour Bakeries
229,,"['Fast Food', 'Grill', 'Juices']",Nuaimiya,Express City Burger
230,,"['Indian', 'Continental', 'Arabian', 'Middle Eastern']","Ajman Beach Hotel, Ajman Corniche",Sea View - Ajman Beach Hotel
231,,"['Arabian', 'Middle Eastern']",Al Jurf,Jdoodna Restaurant & Cafe
232,,"['Cafe', 'Coffee']",Al Jurf,Blends & Brews Coffee Shop
233,,"['Seafood', 'Asian']","Ajman Saray, Ajman Corniche",Safi - Ajman Saray
234,,"['Middle Eastern', 'Arabian', 'Burger']",Al Rashidiya 3,Arabian Fried Chicken
