,cost_for_two,cuisines,locality,rest_name
294,,"['Italian', 'Seafood', 'Indian']","Centro Sharjah, Sharjah Airport International Free Zone",C.Taste - Centro Sharjah
295,,"['Indian', 'Fast Food']",Abu Shagara,Madinat Gujarat Cafeteria
296,,"['Sushi', 'Japanese', 'Seafood']","Sahara Centre, Al Nahda",Yoko Sushi
297,,"['Beverages', 'Ice Cream', 'Desserts']","Sahara Centre, Al Nahda",Keventers
298,,"['Indian', 'Chinese']",Abu Shagara,Sout Al Canary Restaurant
299,,"['Indian', 'South Indian', 'Chinese']",Al Mahatah,Calicut Park Restaurant
300,,"['South Indian', 'Chettinad']",Abu Shagara,Al Zafaran Al Ahmar Cafe (Curry Point)
301,,"['South Indian', 'Chinese', 'North Indian']",Muwailih Commercial,Tamil Nadu Restaurant
302,,"['International', 'American', 'Burger', 'Street Food', 'Fast Food']",Sharqan,Lammah
303,,"['Arabian', 'Middle Eastern', 'Lebanese', 'Fast Food']","Al Qasba, Al Khan",Beit Setti - بيت ستي
304,,"['Biryani', 'Indian', 'South Indian']",Abu Shagara,Royal Bucket Biryani
305,,['Chinese'],Muwailih Commercial,Chopstiicks
306,,"['Turkish', 'Arabian', 'Middle Eastern']",Al Mirgab,Al Shawerma Al Turkia
307,,"['Arabian', 'Middle Eastern']",Al Taawun,Dar Ward Restaurant - دار ورد
308,,"['Indian', 'North Indian', 'South Indian', 'Chinese']",Abu Shagara,Madras Light Vegetarian Restaurant
309,,"['Italian', 'Pizza']","Mega Mall, Abu Shagara",Pizzaro
310,,"['Indian', 'North Indian', 'South Indian', 'Chinese']",Industrial Area,Meera Restaurant
311,,"['Chinese', 'Nepalese', 'Indian', 'Fast Food']",Al Nahda,Taste of Nepal (Al Maida Al Thahabiah)
312,,"['Beverages', 'Desserts']",Al Ghuwair,Lassi Shop
313,,"['Arabian', 'Middle Eastern']",Al Majaz,Zarzoor Kabab Al Iraqi Cafeteria
314,,"['Desserts', 'Bakery']",Al Majaz,Roche
315,,"['North Indian', 'Fast Food', 'South Indian', 'Chinese']",Al Nud,Apni Rasoi (Burj Al Falak)
316,,"['Indian', 'South Indian']",Abu Shagara,Silver Fork
317,,"['Indian', 'Biryani']","Al Qasba, Al Khan",Biryani Box
318,,"['Lebanese', 'Arabian', 'Middle Eastern']","Al Majaz Waterfront, Al Majaz 3",Levantine - ليفانتين
319,,"['International', 'Italian', 'Steak']",University City,Crave Fusion Cuisine
320,,"['Desserts', 'Beverages']","Sahara Centre, Al Nahda",Pinkberry
321,,['Beverages'],Al Nahda,House Of Lassi
322,,['Fast Food'],"Sahara Centre, Al Nahda",Charleys Philly Steaks
323,,"['Pakistani', 'Seafood']",Al Nabba,Samra Mama Machi
324,,"['Asian', 'Fast Food']","Sahara Centre, Al Nahda",Max's All About Chicken
325,,"['Bakery', 'Syrian']",Al Taawun,Sallora Sweets
326,,"['Indian', 'South Indian']",Abu Shagara,Nujoom Chennai
327,,['North Indian'],Muwailih Commercial,Anaaj Restaurant
328,,"['French', 'Cafe']","Zero 6, University City",Angelina Paris
329,,"['Biryani', 'Hyderabadi', 'Indian']",Al Ghuwair,Green Palace Restaurant
330,,"['Pizza', 'Fast Food', 'Filipino']",Al Majaz,Pizza & Pizza Restaurant
331,,"['Lebanese', 'Fast Food', 'Beverages']",Al Khan,Baba Ghanouj Restaurant
332,,"['South Indian', 'Chinese', 'Indian']",Al Nahda,Hi-Way Fast Food
333,,"['Juices', 'Tea']",Al Ghuwair,Jawdat Al Asaaer Cafeteria (Dessi Cuppa)
334,,"['North Indian', 'South Indian', 'Kerala']",Muwailih Commercial,Family Palace Restaurant
335,,"['Arabian', 'Middle Eastern']",Al Mirgab,Al Amour Restaurant - الامور
336,,"['Mandi', 'Arabian', 'Middle Eastern', 'Yemeni']",Abu Shagara,Joraif For Mandi Restaurant
337,,"['Kerala', 'South Indian']",Halwan Suburb,Kerala Thattukada
338,,"['Desserts', 'Fast Food', 'Street Food', 'Beverages']",Al Ghuwair,Bombay Sweets & Bakery
339,,"['Turkish', 'Arabian', 'Grill', 'Kebab']","Sahara Centre, Al Nahda",Tike
340,,"['Beverages', 'Ice Cream', 'Desserts']","Sharjah City Centre, Industrial Area 1-6",Keventers
341,,"['Street Food', 'Desserts']",Al Ghuwair,Vandna
342,,['Fast Food'],"Sahara Centre, Al Nahda",New York Fries
343,,"['Indian', 'Kerala', 'Fast Food', 'Juices']",Al Nud,Al Sulaimania
344,,"['Pakistani', 'Indian', 'North Indian']",Al Nahda,Al Qantarah Restaurant
345,,"['Pakistani', 'Indian', 'North Indian']",Al Nahda,Al Qantarah Restaurant
346,,"['Fast Food', 'Beverages', 'Chinese']",Al Nahda,Layali Al Salihah Cafeteria
347,,"['Asian', 'Chinese', 'Thai', 'Sushi', 'Japanese']",Abu Shagara,China Bistro - تشاينا بيسترو
348,,"['Desserts', 'Bakery']",Al Majaz,Charlotte Sweets
349,,"['Fast Food', 'Indian', 'Grill', 'Juices', 'Chinese']",Abu Shagara,Gulf Light Cafeteria
350,,['Fast Food'],Al Mujarrah,New York Snacks
351,,['Chinese'],"Sharjah City Centre, Industrial Area 1-6",Panda Chinese
352,,"['Arabian', 'Middle Eastern', 'Fast Food']",Al Taawun,Zekrayat Al Sham Cafeteria ذكريات الشام
353,,"['Beverages', 'Juices', 'Fast Food']",Al Mujarrah,Chettagong Fresh Cool
354,,"['Arabian', 'Middle Eastern', 'Lebanese', 'Pizza']",Al Mahatah,Albal Man'oushe Pastry & Snacks
355,,['Seafood'],Halwan Suburb,Octopus Restaurant
356,,"['Burger', 'Fast Food', 'Pizza']",University City,Napoli Restaurant
